# Virtual Drums debug log (per finger per frame)
# measured_fps=15.13
# smoothing_frames=2  velocity_delta_frames=1
# STRIKE_SPEED_THRESHOLD(px/s)=130.0  DECEL_SPEED_THRESHOLD(px/s)=60.0
# CONTACT_BAND_PX=25.0  arm_clearance_px=13.9
# strike_axis=y  approach_sign=1
# contact_zeros: right_thumb=391.0, right_index=407.0, right_middle=411.0, right_ring=412.0, right_pinky=409.0, left_thumb=414.0, left_index=407.0, left_middle=404.0, left_ring=414.0, left_pinky=418.0
# events: warmup/vel_warmup/dt_zero/approach/medium/FIRE/impact_noarm/impact_noreach/slow_stop
ts_ms,finger,hand,raw_y,smoothed_y,velocity_pxps,depth,armed,was_fast,deepest_y,contact_zero_y,arm_line_y,event,fired,strike_speed
14187,right_index,Right,404.00,406.00,8.06,406.00,0,0,,407.00,393.07,slow_stop,0,
14187,right_middle,Right,410.00,409.50,-8.06,409.50,0,0,,411.00,397.07,slow_stop,0,
14187,right_ring,Right,417.00,416.50,8.06,416.50,0,0,,412.00,398.07,slow_stop,0,
14187,right_pinky,Right,411.00,410.50,24.19,410.50,0,0,,409.00,395.07,slow_stop,0,
14187,left_thumb,Left,415.00,417.00,-40.32,417.00,0,0,,414.00,400.07,slow_stop,0,
14187,left_index,Left,405.00,406.00,-32.26,406.00,0,0,,407.00,393.07,slow_stop,0,
14187,left_middle,Left,402.00,404.50,-40.32,404.50,0,0,,404.00,390.07,slow_stop,0,
14187,left_ring,Left,416.00,416.00,8.06,416.00,0,0,,414.00,400.07,slow_stop,0,
14187,left_pinky,Left,416.00,416.50,-48.39,416.50,0,0,,418.00,404.07,slow_stop,0,
14265,right_thumb,Right,392.00,393.00,-6.41,393.00,0,0,,391.00,377.07,slow_stop,0,
14265,right_index,Right,406.00,405.00,-12.82,405.00,0,0,,407.00,393.07,slow_stop,0,
14265,right_middle,Right,412.00,411.00,19.23,411.00,0,0,,411.00,397.07,slow_stop,0,
14265,right_ring,Right,416.00,416.50,0.00,416.50,0,0,,412.00,398.07,slow_stop,0,
14265,right_pinky,Right,410.00,410.50,0.00,410.50,0,0,,409.00,395.07,slow_stop,0,
14265,left_thumb,Left,414.00,414.50,-32.05,414.50,0,0,,414.00,400.07,slow_stop,0,
14265,left_index,Left,408.00,406.50,6.41,406.50,0,0,,407.00,393.07,slow_stop,0,
14265,left_middle,Left,402.00,402.00,-32.05,402.00,0,0,,404.00,390.07,slow_stop,0,
14265,left_ring,Left,412.00,414.00,-25.64,414.00,0,0,,414.00,400.07,slow_stop,0,
14265,left_pinky,Left,416.00,416.00,-6.41,416.00,0,0,,418.00,404.07,slow_stop,0,
14343,right_thumb,Right,394.00,393.00,0.00,393.00,0,0,,391.00,377.07,slow_stop,0,
14343,right_index,Right,409.00,407.50,32.05,407.50,0,0,,407.00,393.07,slow_stop,0,
14343,right_middle,Right,414.00,413.00,25.64,413.00,0,0,,411.00,397.07,slow_stop,0,
14343,right_ring,Right,418.00,417.00,6.41,417.00,0,0,,412.00,398.07,slow_stop,0,
14343,right_pinky,Right,411.00,410.50,0.00,410.50,0,0,,409.00,395.07,slow_stop,0,
14343,left_thumb,Left,416.00,415.00,6.41,415.00,0,0,,414.00,400.07,slow_stop,0,
14343,left_index,Left,407.00,407.50,12.82,407.50,0,0,,407.00,393.07,slow_stop,0,
14343,left_middle,Left,401.00,401.50,-6.41,401.50,0,0,,404.00,390.07,slow_stop,0,
14343,left_ring,Left,416.00,414.00,0.00,414.00,0,0,,414.00,400.07,slow_stop,0,
14343,left_pinky,Left,416.00,416.00,0.00,416.00,0,0,,418.00,404.07,slow_stop,0,
14405,right_thumb,Right,393.00,393.50,8.06,393.50,0,0,,391.00,377.07,slow_stop,0,
14405,right_index,Right,408.00,408.50,16.13,408.50,0,0,,407.00,393.07,slow_stop,0,
14405,right_middle,Right,412.00,413.00,0.00,413.00,0,0,,411.00,397.07,slow_stop,0,
14405,right_ring,Right,417.00,417.50,8.06,417.50,0,0,,412.00,398.07,slow_stop,0,
14405,right_pinky,Right,412.00,411.50,16.13,411.50,0,0,,409.00,395.07,slow_stop,0,
14405,left_thumb,Left,415.00,415.50,8.06,415.50,0,0,,414.00,400.07,slow_stop,0,
14405,left_index,Left,410.00,408.50,16.13,408.50,0,0,,407.00,393.07,slow_stop,0,
14405,left_middle,Left,404.00,402.50,16.13,402.50,0,0,,404.00,390.07,slow_stop,0,
14405,left_ring,Left,413.00,414.50,8.06,414.50,0,0,,414.00,400.07,slow_stop,0,
14405,left_pinky,Left,419.00,417.50,24.19,417.50,0,0,,418.00,404.07,slow_stop,0,
14468,right_thumb,Right,394.00,393.50,0.00,393.50,0,0,,391.00,377.07,slow_stop,0,
14468,right_index,Right,406.00,407.00,-23.81,407.00,0,0,,407.00,393.07,slow_stop,0,
14468,right_middle,Right,411.00,411.50,-23.81,411.50,0,0,,411.00,397.07,slow_stop,0,
14468,right_ring,Right,416.00,416.50,-15.87,416.50,0,0,,412.00,398.07,slow_stop,0,
14468,right_pinky,Right,410.00,411.00,-7.94,411.00,0,0,,409.00,395.07,slow_stop,0,
14468,left_thumb,Left,420.00,417.50,31.75,417.50,0,0,,414.00,400.07,slow_stop,0,
14468,left_index,Left,406.00,408.00,-7.94,408.00,0,0,,407.00,393.07,slow_stop,0,
14468,left_middle,Left,407.00,405.50,47.62,405.50,0,0,,404.00,390.07,slow_stop,0,
14468,left_ring,Left,415.00,414.00,-7.94,414.00,0,0,,414.00,400.07,slow_stop,0,
14468,left_pinky,Left,419.00,419.00,23.81,419.00,0,0,,418.00,404.07,slow_stop,0,
14530,right_thumb,Right,391.00,392.50,-16.13,392.50,0,0,,391.00,377.07,slow_stop,0,
14530,right_index,Right,407.00,406.50,-8.06,406.50,0,0,,407.00,393.07,slow_stop,0,
14530,right_middle,Right,409.00,410.00,-24.19,410.00,0,0,,411.00,397.07,slow_stop,0,
14530,right_ring,Right,416.00,416.00,-8.06,416.00,0,0,,412.00,398.07,slow_stop,0,
14530,right_pinky,Right,411.00,410.50,-8.06,410.50,0,0,,409.00,395.07,slow_stop,0,
14530,left_thumb,Left,417.00,418.50,16.13,418.50,0,0,,414.00,400.07,slow_stop,0,
14530,left_index,Left,408.00,407.00,-16.13,407.00,0,0,,407.00,393.07,slow_stop,0,
14530,left_middle,Left,404.00,405.50,0.00,405.50,0,0,,404.00,390.07,slow_stop,0,
14530,left_ring,Left,417.00,416.00,32.26,416.00,0,0,,414.00,400.07,slow_stop,0,
14530,left_pinky,Left,419.00,419.00,0.00,419.00,0,0,,418.00,404.07,slow_stop,0,
14593,right_thumb,Right,392.00,391.50,-15.87,391.50,0,0,,391.00,377.07,slow_stop,0,
14593,right_index,Right,405.00,406.00,-7.94,406.00,0,0,,407.00,393.07,slow_stop,0,
14593,right_middle,Right,408.00,408.50,-23.81,408.50,0,0,,411.00,397.07,slow_stop,0,
14593,right_ring,Right,415.00,415.50,-7.94,415.50,0,0,,412.00,398.07,slow_stop,0,
14593,right_pinky,Right,410.00,410.50,0.00,410.50,0,0,,409.00,395.07,slow_stop,0,
14593,left_thumb,Left,416.00,416.50,-31.75,416.50,0,0,,414.00,400.07,slow_stop,0,
14593,left_index,Left,407.00,407.50,7.94,407.50,0,0,,407.00,393.07,slow_stop,0,
14593,left_middle,Left,403.00,403.50,-31.75,403.50,0,0,,404.00,390.07,slow_stop,0,
14593,left_ring,Left,416.00,416.50,7.94,416.50,0,0,,414.00,400.07,slow_stop,0,
14593,left_pinky,Left,419.00,419.00,0.00,419.00,0,0,,418.00,404.07,slow_stop,0,
14672,right_thumb,Right,395.00,393.50,25.32,393.50,0,0,,391.00,377.07,slow_stop,0,
